,RMSE,R squared
"epoch size=10,batch size=16",5.987840387687214,0.9035519309960327
"epoch size=10,batch size=32",6.890853251508576,0.8722681774496266
"epoch size=10,batch size=48",6.750729376867354,0.8774101529396402
"epoch size=10,batch size=64",6.908580038785599,0.87161014942358
"epoch size=20,batch size=16",6.982978966947674,0.8688299831320554
"epoch size=20,batch size=32",6.936501196766916,0.8705702722603359
"epoch size=20,batch size=48",6.86485504379877,0.8732301871988062
"epoch size=20,batch size=64",7.0474330864635375,0.8663973634715011
"epoch size=30,batch size=16",6.726456383684691,0.8782901387208509
"epoch size=30,batch size=32",6.931014957634474,0.8707749292211827
"epoch size=30,batch size=48",6.961497725902903,0.8696357598146506
"epoch size=30,batch size=64",7.017583358171531,0.8675267269337664
"epoch size=40,batch size=16",6.908975794967459,0.8715954394449394
"epoch size=40,batch size=32",7.080694450405619,0.8651332741357276
"epoch size=40,batch size=48",7.08731188508199,0.8648810704019745
"epoch size=40,batch size=64",7.097835515931795,0.8644795084423293
"epoch size=50,batch size=16",6.922222653566338,0.871102576894971
"epoch size=50,batch size=32",6.869104442637185,0.8730731956177218
"epoch size=50,batch size=48",6.92651121594858,0.870942814372899
"epoch size=50,batch size=64",7.029905687365393,0.8670610930076442
