,new_r2,difference,feature
3,0.2546163660164392,-0.6989346339835608,Adj Close
2,0.573703639069292,-0.37984736093070803,Low
7,0.7477951273456611,-0.20575587265433892,EMA10
1,0.7710797874730606,-0.18247121252693943,High
6,0.8442783237024984,-0.10927267629750159,SMA_50
13,0.8473134003280276,-0.10623759967197244,disneyland_Result
5,0.8665903564260967,-0.08696064357390332,SMA_20
9,0.8775424310400688,-0.07600856895993124,disneyland_Polarity
14,0.8874200206831145,-0.0661309793168855,disneyplus_Result
12,0.8952565376761384,-0.058294462323861596,disneyplus_Vader
11,0.9006204997038342,-0.05293050029616586,disneyland_Vader
0,0.9090048237629269,-0.04454617623707313,Open
8,0.9168110281895433,-0.03673997181045674,SMA_volume
4,0.9340493324323195,-0.01950166756768057,Volume
10,0.9356870202979723,-0.017863979702027688,disneyplus_Polarity
