,RMSE,R squared
"epoch size=10,batch size=16",23.393433265906026,-0.4721126183787505
"epoch size=10,batch size=32",7.800816614177867,0.8363058182722056
"epoch size=10,batch size=48",5.640643777416107,0.9144124777312987
"epoch size=10,batch size=64",4.614795078815559,0.9427127535367279
"epoch size=20,batch size=16",5.600152040547936,0.9156368587034445
"epoch size=20,batch size=32",5.3913026837020634,0.9218119221479848
"epoch size=20,batch size=48",4.1553729691069785,0.9535513466623616
"epoch size=20,batch size=64",4.371918186027947,0.9485841335451489
"epoch size=30,batch size=16",5.506466832401195,0.9184358787039051
"epoch size=30,batch size=32",5.0642764096998265,0.9310097196604685
"epoch size=30,batch size=48",4.376313715923219,0.9484806944693255
"epoch size=30,batch size=64",4.606374593780001,0.9429216236143729
"epoch size=40,batch size=16",5.578264511103319,0.9162950166646415
"epoch size=40,batch size=32",5.258245622216156,0.9256236529563813
"epoch size=40,batch size=48",5.019718642132944,0.9322183935883904
"epoch size=40,batch size=64",4.762435703740352,0.9389885484765279
"epoch size=50,batch size=16",4.9250187318878025,0.9347517482415825
"epoch size=50,batch size=32",4.737839077967929,0.9396171346253543
"epoch size=50,batch size=48",5.880262305070808,0.9069863889313936
"epoch size=50,batch size=64",5.149855236449993,0.9286583501325734
